B8:27:EB:F2:24:39;172.16.2.13;raspberrypi;1604249827
B8:27:EB:67:3C:7B;172.16.2.16;raspberrypi;1604249827
B8:27:EB:64:FE:11;172.16.2.15;raspberrypi;1604249828
DC:A6:32:1B:44:2D;172.16.2.18;raspberrypi;1604249837
DC:A6:32:1B:36:08;172.16.2.19;raspberrypi;1604249837
DC:A6:32:1B:42:A1;172.16.2.20;raspberrypi;1604249837
B8:27:EB:39:BA:C1;172.16.2.17;raspberrypi;1604249837
